Lead ID,Date Added,Company Name,Business Type,Number of Outlets,Estimated Monthly Revenue (RM),Address,City,State,Postal Code,Website,Primary Contact Name,Job Title,Phone Number,Email Address,WhatsApp,Rating,Review Count,Price Level,Business Status,Google Place ID,Latitude,Longitude,Biggest Pain Point,ICP Tier (1/2/3),Lead Score (0-100),Lead Quality (HOT/WARM/QUALIFIED/COLD),Source,Notes,Follow-up Date,Contact Status (New/Contacted/Qualified/Proposal/Won/Lost),Owner (Sales Rep),Created By,Last Modified
GOOGLE-ChIJhxoQ,2025-11-05,Splash,"Restaurant, Bar",1,80000,"Level 4, The Westin Kuala Lumpur, 199, Jalan Bukit Bintang, Bukit Bintang, 55100 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",55100 Kuala Lumpur,Kuala Lumpur,55100,http://www.thewestinkualalumpur.com/splash,,,03-2773 8338,,03-2773 8338,4.7,31,Unknown,OPERATIONAL,ChIJhxoQRiw2zDER23Qc7fVLTKs,3.1475322,101.7145928,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.7/5 (31 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJuXeC,2025-11-05,Subway @Avenue K KLCC,Restaurant,1,100000,"Lot No: 8-9, Level: UC, Avenue K, 156, Jln Ampang, Kampung Baru, 50450 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",50450 Kuala Lumpur,Kuala Lumpur,50450,http://www.subway.com.my/,,,03-2163 9399,,03-2163 9399,3.7,439,$$ (Moderate),OPERATIONAL,ChIJuXeCxNA3zDERClSGrEBzc1M,3.159376,101.7133204,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 3.7/5 (439 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJw28n,2025-11-05,Nasi Lemak CT Garden,Restaurant,1,75000,"Jalan Datuk Abdul Razak, Kampung Baru, 50300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50300 Kuala Lumpur,Kuala Lumpur,50300,,,,,,,3.8,1757,$ (Budget),OPERATIONAL,ChIJw28n9yVIzDERlXHzRjCYH3M,3.1625042,101.701271,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 3.8/5 (1757 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJ__-r,2025-11-05,Sze Ngan Chye,Restaurant,1,80000,"46, Jalan Petaling, City Centre, 50000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50000 Kuala Lumpur,Kuala Lumpur,50000,,,,012-333 8903,,012-333 8903,4.2,200,Unknown,OPERATIONAL,ChIJ__-r-dhJzDERrRpp2VJ_gqs,3.1442681,101.6977966,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.2/5 (200 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJw_uZ,2025-11-05,GUARDIAN Sungei Wang Plaza,"Pharmacy, Health, Restaurant",1,80000,"C2-C3, Concourse Floor, Bukit Bintang Rd, Bukit Bintang, 55100 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",55100 Kuala Lumpur,Kuala Lumpur,55100,https://www.guardian.com.my/,,,03-2141 0031,,03-2141 0031,3.6,5,Unknown,OPERATIONAL,ChIJw_uZIyk2zDERaN5QYdrozuQ,3.144334,101.7113872,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 3.6/5 (5 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJMwcN,2025-11-05,Sushi Zanmai The Gardens Mall,Restaurant,1,150000,"LG-240&241A, Lower Ground Floor, The Gardens Mall, Lingkaran Syed Putra, Mid Valley City, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",59200 Kuala Lumpur,Kuala Lumpur,59200,http://www.supersushi.com.my/,,,012-702 1160,,012-702 1160,3.8,1004,$$ (Moderate),OPERATIONAL,ChIJMwcN545JzDER0FhP9ezDG7c,3.119365600000001,101.6761691,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 3.8/5 (1004 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJQcUv,2025-11-05,The Social @ Bangsar,"Bar, Restaurant",1,150000,"57-59, Jln Telawi 3, Bangsar, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",59100 Kuala Lumpur,Kuala Lumpur,59100,http://www.thesocial.com.my/,,,03-2282 2260,,03-2282 2260,4.2,1738,$$ (Moderate),OPERATIONAL,ChIJQcUvQZhJzDERn-3RQdW0Xns,3.130534,101.670946,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.2/5 (1738 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJkxdT,2025-11-05,Jogoya Japanese Buffet Restaurant,Restaurant,2,400000,"LG 05 Lower Ground Floor, The, 181, Bukit Bintang Rd, Bukit Bintang, 55100 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",55100 Kuala Lumpur,Kuala Lumpur,55100,http://www.jogoyarestaurants.com/,,,03-2141 1666,,03-2141 1666,3.8,2968,$$$ (Expensive),OPERATIONAL,ChIJkxdTEyw2zDERsy8XiwXjebY,3.1465855,101.7140537,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 3.8/5 (2968 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJUQ5K,2025-11-05,Levain Boulangerie & Patisserie,"Bakery, Cafe, Restaurant",2,200000,"7, Jalan Delima, Imbi, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",55100 Kuala Lumpur,Kuala Lumpur,55100,http://www.levain.com.my/,,,03-2142 6611,,03-2142 6611,4.2,2941,$$ (Moderate),CLOSED_TEMPORARILY,ChIJUQ5KhjE2zDERSI4cz_Nxgm8,3.1461472,101.7203639,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 4.2/5 (2941 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJ69s5,2025-11-05,6 Capsquare Condominium,Restaurant,1,80000,"6, Persiaran Capsquare, City Centre, 50100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50100 Kuala Lumpur,Kuala Lumpur,50100,,,,03-2260 0700,,03-2260 0700,4.2,322,Unknown,OPERATIONAL,ChIJ69s5ZyxIzDERCww7H-uT6dI,3.1541563,101.7001075,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.2/5 (322 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJXSr4,2025-11-05,Ăn Viet @The Gardens Mall,"Cafe, Restaurant",1,150000,"LG203B, The Gardens Mall, Lingkaran Syed Putra, Mid Valley City, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",59200 Kuala Lumpur,Kuala Lumpur,59200,http://www.anviet.com.my/,,,03-2201 1181,,03-2201 1181,4.2,1815,$$ (Moderate),OPERATIONAL,ChIJXSr44o5JzDERSKCt0_iuLrI,3.1189415,101.6761396,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.2/5 (1815 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJX6Cx,2025-11-05,Zipangu,Restaurant,1,80000,"11, Jln Sultan Ismail, Kuala Lumpur, 50250 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50250 Kuala Lumpur,Kuala Lumpur,50250,https://www.shangri-la.com/restaurants-bars/kualalumpur/shangrila/zipangu/,,,03-2786 2378,,03-2786 2378,4.3,467,Unknown,OPERATIONAL,ChIJX6CxcipIzDERXognwAlqT8M,3.1541381,101.7062698,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.3/5 (467 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJQzcq,2025-11-05,Tamarind Hill,"Bar, Restaurant",1,200000,"19, Jln Sultan Ismail, Bukit Bintang, 50250 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50250 Kuala Lumpur,Kuala Lumpur,50250,https://samadhiretreats.com/tamarind-hill-kuala-lumpur/26,,,03-2148 3200,,03-2148 3200,4.2,605,$$$ (Expensive),CLOSED_TEMPORARILY,ChIJQzcqdNU3zDERUY0izrCokEE,3.152927800000001,101.7086755,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 4.2/5 (605 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJ-Rv5,2025-11-05,Opus Bistro,Restaurant,1,200000,"67, Jalan Bangkung, Bangsar, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",59100 Kuala Lumpur,Kuala Lumpur,59100,https://www.opusbistro.my/,,,03-2092 4288,,03-2092 4288,4.3,349,$$$ (Expensive),OPERATIONAL,ChIJ-Rv5Z6RJzDERfp1PvCLRRwY,3.1381406,101.6692299,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 4.3/5 (349 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJb4Nw,2025-11-05,One Seafood Restaurant | 港一活海鮮,Restaurant,1,80000,"510, Jln Bukit Bintang, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",55100 Kuala Lumpur,Kuala Lumpur,55100,http://oneseafoodkl.com/,,,016-215 9915,,016-215 9915,4.2,859,Unknown,OPERATIONAL,ChIJb4Nw8NVJzDERLQkjSW7QgsI,3.1473325,101.7207649,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.2/5 (859 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJ9a-m,2025-11-05,McDonald's Bangsar,Restaurant,2,200000,"48, Jalan Telawi 5, Bangsar, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",59100 Kuala Lumpur,Kuala Lumpur,59100,http://www.mcdonalds.com.my/,,,03-2201 2551,,03-2201 2551,4,4164,$$ (Moderate),OPERATIONAL,ChIJ9a-mtqJJzDERqPXc8Sg6qHE,3.132982299999999,101.6723034,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 4/5 (4164 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJLSu2,2025-11-05,Victoria Station Medan Damansara,Restaurant,1,200000,"11-17, Jalan Setiapuspa, Medan Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50490 Kuala Lumpur,Kuala Lumpur,50490,http://www.victoriastation.com.my/,,,03-2094 9406,,03-2094 9406,3.6,738,$$$ (Expensive),OPERATIONAL,ChIJLSu2AglJzDER2bySRxQFXKQ,3.1397408,101.6579637,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 3.6/5 (738 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJi8A4,2025-11-05,Alexis Bistro @ Bangsar,"Restaurant, Bar",1,200000,"29, Jln Telawi 3, Bangsar, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",59100 Kuala Lumpur,Kuala Lumpur,59100,https://alexisbistro.cargo.site/,,,03-2284 2880,,03-2284 2880,4.1,920,$$$ (Expensive),OPERATIONAL,ChIJi8A4dJhJzDER5S34PCD3Pus,3.131788100000001,101.6709146,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 4.1/5 (920 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJQQ-4,2025-11-05,Rakuzen Hartamas Shopping Centre,Restaurant,1,80000,"P17, Hartamas Shopping Centre, 60, Jalan Sri Hartamas 1, Taman Sri Hartamas, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50480 Kuala Lumpur,Kuala Lumpur,50480,http://www.superdining.com.my/,,,012-410 3060,,012-410 3060,4.1,409,Unknown,OPERATIONAL,ChIJQQ-4I_dIzDERFlYjtQANwn0,3.163593699999999,101.6573279,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.1/5 (409 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJ8Qvh,2025-11-05,Sagar Restaurant,Restaurant,1,150000,"4, Lrg Maarof, Bangsar, 59000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",59000 Kuala Lumpur,Kuala Lumpur,59000,http://www.sagarrestaurant.com/,,,03-2284 2532,,03-2284 2532,4.2,1298,$$ (Moderate),OPERATIONAL,ChIJ8QvhBJlJzDER9sPgeFEBXYU,3.1276,101.6760301,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.2/5 (1298 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJrQvy,2025-11-05,Cava,"Bar, Restaurant",1,200000,"71, Jalan Bangkung, Bangsar, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",59100 Kuala Lumpur,Kuala Lumpur,59100,https://www.cava.my/,,,03-2093 6637,,03-2093 6637,4.1,414,$$$ (Expensive),OPERATIONAL,ChIJrQvyZqRJzDERTLLZ-WMEo4c,3.138059999999999,101.669301,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 4.1/5 (414 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJX6Cx,2025-11-05,"Arthur's Bar & Grill, Shangri-La Hotel, Kuala Lumpur","Bar, Restaurant",1,80000,"11, Jln Sultan Ismail, Kuala Lumpur, 50250 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50250 Kuala Lumpur,Kuala Lumpur,50250,http://www.shangri-la.com/kualalumpur/shangrila/dining/bars-lounges/arthurs-bar-grill/,,,03-2786 2378,,03-2786 2378,4.4,405,Unknown,OPERATIONAL,ChIJX6CxcipIzDER7KT9Ar0F7q8,3.1540774,101.7063402,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.4/5 (405 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJsctL,2025-11-05,Al-Amar Express,Restaurant,1,150000,"Lot G-44, Fahrenheit88, 179, Jln Bukit Bintang, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",55100 Kuala Lumpur,Kuala Lumpur,55100,http://www.alamarkl.com/,,,03-2110 3569,,03-2110 3569,4,1301,$$ (Moderate),OPERATIONAL,ChIJsctLAyw2zDERs2B7s2QZsUs,3.147402,101.7123351,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4/5 (1301 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJHRX7,2025-11-05,R.A. Nasi Lemak,Restaurant,1,100000,"15, Jalan Raja Abdullah, Kampung Baru, 50300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50300 Kuala Lumpur,Kuala Lumpur,50300,,,,017-652 0059,,017-652 0059,3.8,258,$$ (Moderate),OPERATIONAL,ChIJHRX7TClIzDEREjxA1lyL0sE,3.1571719,101.7013674,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 3.8/5 (258 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJzTBz,2025-11-05,Domino's Bangsar,"Meal Delivery, Meal Takeaway, Restaurant",1,100000,"6 & 6A, Jalan Telawi, Bangsar, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",59100 Kuala Lumpur,Kuala Lumpur,59100,https://www.dominos.com.my/store/wpersekutuan-bangsar-85006,,,1-300-88-8333,,1-300-88-8333,3.4,209,$$ (Moderate),OPERATIONAL,ChIJzTBz8qJJzDERxa5EDwTVhTM,3.1325777,101.6706049,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 3.4/5 (209 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJDewP,2025-11-05,DÔME (Bangsar Shopping Centre),"Cafe, Restaurant",1,150000,"G7, Ground Level, Bangsar Shopping Centre, 285, Jalan Maarof, Bangsar, 59000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",59000 Kuala Lumpur,Kuala Lumpur,59000,http://www.domecafe.com.my/,,,012-224 3570,,012-224 3570,4.5,1130,$$ (Moderate),OPERATIONAL,ChIJDewPNq9JzDERczUxZlj7qJ8,3.14278,101.6673555,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.5/5 (1130 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJtYUq,2025-11-05,SkyBar,"Bar, Restaurant",2,400000,"Traders Hotel Kuala Lumpur, Kuala Lumpur City Centre, 50088 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50088 Kuala Lumpur,Kuala Lumpur,50088,http://www.shangri-la.com/kualalumpur/traders/dining/bars-lounges/sky-bar/,,,03-2332 9888,,03-2332 9888,4.2,2948,$$$ (Expensive),OPERATIONAL,ChIJtYUqqdM3zDERoeZmz29cmf0,3.1539243,101.7148872,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 4.2/5 (2948 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJy3l7,2025-11-05,Tatsu Japanese Cuisine • InterContinental,Restaurant,1,80000,"165, Jln Ampang, Kuala Lumpur, 55000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",55000 Kuala Lumpur,Kuala Lumpur,55000,http://kualalumpur.intercontinental.com/dining/tatsu-japanese-cuisine,,,016-202 4623,,016-202 4623,4,160,Unknown,OPERATIONAL,ChIJy3l7HNA3zDERff8grBWEMDE,3.1596017,101.7179412,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4/5 (160 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJY0pA,2025-11-05,Marini’s on 57,"Night Club, Bar, Restaurant",2,1000000,"Level 57, Menara 3, Petronas, Persiaran KLCC, Kuala Lumpur City Centre, 50088 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50088 Kuala Lumpur,Kuala Lumpur,50088,https://marinisgroup.com/marinis-on-57/,,,03-2386 6030,,03-2386 6030,4.5,3483,$$$$ (Very Expensive),CLOSED_TEMPORARILY,ChIJY0pAodY3zDERpLoOdZbQ0UM,3.1566118,101.7115921,Losing money to waste but don't know how much,3,,,Google Places API,Rating: 4.5/5 (3483 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJMwcN,2025-11-05,The Coffee Bean & Tea Leaf,"Cafe, Store, Restaurant",1,100000,"Unit G-047, Ground Floor, Mid Valley Megamall, Lingkaran Syed Putra, Mid Valley City, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",59200 Kuala Lumpur,Kuala Lumpur,59200,https://www.coffeebean.com.my/,,,03-2201 3603,,03-2201 3603,3.8,497,$$ (Moderate),OPERATIONAL,ChIJMwcN545JzDERfb3x0dEXfj4,3.117699099999999,101.6774777,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 3.8/5 (497 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJObNT,2025-11-05,Umameat,Restaurant,1,200000,"22-G, Jalan Medan Setia 2, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50490 Kuala Lumpur,Kuala Lumpur,50490,http://www.umameat.beepit.com/,,,013-880 6601,,013-880 6601,4.2,372,$$$ (Expensive),OPERATIONAL,ChIJObNTWto3zDERJ11p5I0IY1Q,3.1490332,101.6531168,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 4.2/5 (372 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJKdx-,2025-11-05,Heritage One Station Restaurant,Restaurant,1,100000,"Bangunan Stesen Keretapi, 2, Jalan Sultan Hishamuddin, Kampung Attap, 50050 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50050 Kuala Lumpur,Kuala Lumpur,50050,,,,03-2274 3533,,03-2274 3533,4,684,$$ (Moderate),OPERATIONAL,ChIJKdx-FsVJzDER94Il2e9a6iM,3.1403277,101.6933454,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4/5 (684 reviews),,New,,Google Places Scraper,2025-11-05
GOOGLE-ChIJB_zB,2025-11-05,Madras Lane Yong Tau Foo,Restaurant,1,80000,"Kuala Lumpur City Centre, 50000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",50000 Kuala Lumpur,Kuala Lumpur,50000,,,,018-375 8890,,018-375 8890,4,336,Unknown,OPERATIONAL,ChIJB_zBSNBJzDERJS5ZzPTEN-Q,3.1436399,101.6973164,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4/5 (336 reviews),,New,,Google Places Scraper,2025-11-05
