Lead ID,Date Added,Company Name,Business Type,Number of Outlets,Estimated Monthly Revenue (RM),Address,City,State,Postal Code,Website,Primary Contact Name,Job Title,Phone Number,Email Address,WhatsApp,Rating,Review Count,Price Level,Business Status,Google Place ID,Latitude,Longitude,Biggest Pain Point,ICP Tier (1/2/3),Lead Score (0-100),Lead Quality (HOT/WARM/QUALIFIED/COLD),Source,Notes,Follow-up Date,Contact Status (New/Contacted/Qualified/Proposal/Won/Lost),Owner (Sales Rep),Created By,Last Modified,Initial Score Hint,Quality Hint
GOOGLE-ChIJuXeC,2025-11-05,Subway @Avenue K KLCC,Restaurant,1,100000,"Lot No: 8-9, Level: UC, Avenue K, 156, Jln Ampang, Kampung Baru, 50450 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",50450 Kuala Lumpur,Kuala Lumpur,50450.0,http://www.subway.com.my/,,,+60321639399,,+60321639399,3.7,439.0,$$ (Moderate),OPERATIONAL,ChIJuXeCxNA3zDERClSGrEBzc1M,3.159376,101.7133204,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 3.7/5 (439 reviews),,New,,Google Places Scraper,2025-11-05,80,WARM
GOOGLE-ChIJw28n,2025-11-05,Nasi Lemak CT Garden,Restaurant,1,75000,"Jalan Datuk Abdul Razak, Kampung Baru, 50300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50300 Kuala Lumpur,Kuala Lumpur,50300.0,,,,,,,3.8,1757.0,$ (Budget),OPERATIONAL,ChIJw28n9yVIzDERlXHzRjCYH3M,3.1625042,101.701271,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 3.8/5 (1757 reviews),,New,,Google Places Scraper,2025-11-05,75,WARM
GOOGLE-ChIJ__-r,2025-11-05,Sze Ngan Chye,Restaurant,1,80000,"46, Jalan Petaling, City Centre, 50000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50000 Kuala Lumpur,Kuala Lumpur,50000.0,,,,+60123338903,,+60123338903,4.2,200.0,Unknown,OPERATIONAL,ChIJ__-r-dhJzDERrRpp2VJ_gqs,3.1442681,101.6977966,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.2/5 (200 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
GOOGLE-ChIJw_uZ,2025-11-05,GUARDIAN Sungei Wang Plaza,"Pharmacy, Health, Restaurant",1,80000,"C2-C3, Concourse Floor, Bukit Bintang Rd, Bukit Bintang, 55100 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",55100 Kuala Lumpur,Kuala Lumpur,55100.0,https://www.guardian.com.my/,,,+60321410031,,+60321410031,3.6,5.0,Unknown,OPERATIONAL,ChIJw_uZIyk2zDERaN5QYdrozuQ,3.144334,101.7113872,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 3.6/5 (5 reviews),,New,,Google Places Scraper,2025-11-05,80,WARM
GOOGLE-ChIJMwcN,2025-11-05,Sushi Zanmai The Gardens Mall,Restaurant,1,150000,"LG-240&241A, Lower Ground Floor, The Gardens Mall, Lingkaran Syed Putra, Mid Valley City, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",59200 Kuala Lumpur,Kuala Lumpur,59200.0,http://www.supersushi.com.my/,,,+60127021160,,+60127021160,3.8,1004.0,$$ (Moderate),OPERATIONAL,ChIJMwcN545JzDER0FhP9ezDG7c,3.119365600000001,101.6761691,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 3.8/5 (1004 reviews),,New,,Google Places Scraper,2025-11-05,90,HOT
GOOGLE-ChIJQcUv,2025-11-05,The Social @ Bangsar,"Bar, Restaurant",1,150000,"57-59, Jln Telawi 3, Bangsar, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",59100 Kuala Lumpur,Kuala Lumpur,59100.0,http://www.thesocial.com.my/,,,+60322822260,,+60322822260,4.2,1738.0,$$ (Moderate),OPERATIONAL,ChIJQcUvQZhJzDERn-3RQdW0Xns,3.130534,101.670946,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.2/5 (1738 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
GOOGLE-ChIJkxdT,2025-11-05,Jogoya Japanese Buffet Restaurant,Restaurant,2,400000,"LG 05 Lower Ground Floor, The, 181, Bukit Bintang Rd, Bukit Bintang, 55100 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",55100 Kuala Lumpur,Kuala Lumpur,55100.0,http://www.jogoyarestaurants.com/,,,+60321411666,,+60321411666,3.8,2968.0,$$$ (Expensive),OPERATIONAL,ChIJkxdTEyw2zDERsy8XiwXjebY,3.1465855,101.7140537,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 3.8/5 (2968 reviews),,New,,Google Places Scraper,2025-11-05,90,HOT
GOOGLE-ChIJUQ5K,2025-11-05,Levain Boulangerie & Patisserie,"Bakery, Cafe, Restaurant",2,200000,"7, Jalan Delima, Imbi, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",55100 Kuala Lumpur,Kuala Lumpur,55100.0,http://www.levain.com.my/,,,+60321426611,,+60321426611,4.2,2941.0,$$ (Moderate),CLOSED_TEMPORARILY,ChIJUQ5KhjE2zDERSI4cz_Nxgm8,3.1461472,101.7203639,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 4.2/5 (2941 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
GOOGLE-ChIJ69s5,2025-11-05,6 Capsquare Condominium,Restaurant,1,80000,"6, Persiaran Capsquare, City Centre, 50100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50100 Kuala Lumpur,Kuala Lumpur,50100.0,,,,+60322600700,,+60322600700,4.2,322.0,Unknown,OPERATIONAL,ChIJ69s5ZyxIzDERCww7H-uT6dI,3.1541563,101.7001075,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.2/5 (322 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
GOOGLE-ChIJXSr4,2025-11-05,Ăn Viet @The Gardens Mall,"Cafe, Restaurant",1,150000,"LG203B, The Gardens Mall, Lingkaran Syed Putra, Mid Valley City, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",59200 Kuala Lumpur,Kuala Lumpur,59200.0,http://www.anviet.com.my/,,,+60322011181,,+60322011181,4.2,1815.0,$$ (Moderate),OPERATIONAL,ChIJXSr44o5JzDERSKCt0_iuLrI,3.1189415,101.6761396,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.2/5 (1815 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
GOOGLE-ChIJX6Cx,2025-11-05,Zipangu,Restaurant,1,80000,"11, Jln Sultan Ismail, Kuala Lumpur, 50250 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50250 Kuala Lumpur,Kuala Lumpur,50250.0,https://www.shangri-la.com/restaurants-bars/kualalumpur/shangrila/zipangu/,,,+60327862378,,+60327862378,4.3,467.0,Unknown,OPERATIONAL,ChIJX6CxcipIzDERXognwAlqT8M,3.1541381,101.7062698,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.3/5 (467 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
GOOGLE-ChIJQzcq,2025-11-05,Tamarind Hill,"Bar, Restaurant",1,200000,"19, Jln Sultan Ismail, Bukit Bintang, 50250 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50250 Kuala Lumpur,Kuala Lumpur,50250.0,https://samadhiretreats.com/tamarind-hill-kuala-lumpur/26,,,+60321483200,,+60321483200,4.2,605.0,$$$ (Expensive),CLOSED_TEMPORARILY,ChIJQzcqdNU3zDERUY0izrCokEE,3.152927800000001,101.7086755,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 4.2/5 (605 reviews),,New,,Google Places Scraper,2025-11-05,90,HOT
GOOGLE-ChIJ-Rv5,2025-11-05,Opus Bistro,Restaurant,1,200000,"67, Jalan Bangkung, Bangsar, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",59100 Kuala Lumpur,Kuala Lumpur,59100.0,https://www.opusbistro.my/,,,+60320924288,,+60320924288,4.3,349.0,$$$ (Expensive),OPERATIONAL,ChIJ-Rv5Z6RJzDERfp1PvCLRRwY,3.1381406,101.6692299,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 4.3/5 (349 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
GOOGLE-ChIJb4Nw,2025-11-05,One Seafood Restaurant | 港一活海鮮,Restaurant,1,80000,"510, Jln Bukit Bintang, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",55100 Kuala Lumpur,Kuala Lumpur,55100.0,http://oneseafoodkl.com/,,,+60162159915,,+60162159915,4.2,859.0,Unknown,OPERATIONAL,ChIJb4Nw8NVJzDERLQkjSW7QgsI,3.1473325,101.7207649,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.2/5 (859 reviews),,New,,Google Places Scraper,2025-11-05,90,HOT
GOOGLE-ChIJ9a-m,2025-11-05,McDonald's Bangsar,Restaurant,2,200000,"48, Jalan Telawi 5, Bangsar, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",59100 Kuala Lumpur,Kuala Lumpur,59100.0,http://www.mcdonalds.com.my/,,,+60322012551,,+60322012551,4.0,4164.0,$$ (Moderate),OPERATIONAL,ChIJ9a-mtqJJzDERqPXc8Sg6qHE,3.132982299999999,101.6723034,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 4/5 (4164 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
GOOGLE-ChIJLSu2,2025-11-05,Victoria Station Medan Damansara,Restaurant,1,200000,"11-17, Jalan Setiapuspa, Medan Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50490 Kuala Lumpur,Kuala Lumpur,50490.0,http://www.victoriastation.com.my/,,,+60320949406,,+60320949406,3.6,738.0,$$$ (Expensive),OPERATIONAL,ChIJLSu2AglJzDER2bySRxQFXKQ,3.1397408,101.6579637,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 3.6/5 (738 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
GOOGLE-ChIJi8A4,2025-11-05,Alexis Bistro @ Bangsar,"Restaurant, Bar",1,200000,"29, Jln Telawi 3, Bangsar, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",59100 Kuala Lumpur,Kuala Lumpur,59100.0,https://alexisbistro.cargo.site/,,,+60322842880,,+60322842880,4.1,920.0,$$$ (Expensive),OPERATIONAL,ChIJi8A4dJhJzDER5S34PCD3Pus,3.131788100000001,101.6709146,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 4.1/5 (920 reviews),,New,,Google Places Scraper,2025-11-05,90,HOT
GOOGLE-ChIJQQ-4,2025-11-05,Rakuzen Hartamas Shopping Centre,Restaurant,1,80000,"P17, Hartamas Shopping Centre, 60, Jalan Sri Hartamas 1, Taman Sri Hartamas, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50480 Kuala Lumpur,Kuala Lumpur,50480.0,http://www.superdining.com.my/,,,+60124103060,,+60124103060,4.1,409.0,Unknown,OPERATIONAL,ChIJQQ-4I_dIzDERFlYjtQANwn0,3.163593699999999,101.6573279,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.1/5 (409 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
GOOGLE-ChIJ8Qvh,2025-11-05,Sagar Restaurant,Restaurant,1,150000,"4, Lrg Maarof, Bangsar, 59000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",59000 Kuala Lumpur,Kuala Lumpur,59000.0,http://www.sagarrestaurant.com/,,,+60322842532,,+60322842532,4.2,1298.0,$$ (Moderate),OPERATIONAL,ChIJ8QvhBJlJzDER9sPgeFEBXYU,3.1276,101.6760301,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.2/5 (1298 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
GOOGLE-ChIJrQvy,2025-11-05,Cava,"Bar, Restaurant",1,200000,"71, Jalan Bangkung, Bangsar, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",59100 Kuala Lumpur,Kuala Lumpur,59100.0,https://www.cava.my/,,,+60320936637,,+60320936637,4.1,414.0,$$$ (Expensive),OPERATIONAL,ChIJrQvyZqRJzDERTLLZ-WMEo4c,3.138059999999999,101.669301,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 4.1/5 (414 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
GOOGLE-ChIJX6Cx,2025-11-05,"Arthur's Bar & Grill, Shangri-La Hotel, Kuala Lumpur","Bar, Restaurant",1,80000,"11, Jln Sultan Ismail, Kuala Lumpur, 50250 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50250 Kuala Lumpur,Kuala Lumpur,50250.0,http://www.shangri-la.com/kualalumpur/shangrila/dining/bars-lounges/arthurs-bar-grill/,,,+60327862378,,+60327862378,4.4,405.0,Unknown,OPERATIONAL,ChIJX6CxcipIzDER7KT9Ar0F7q8,3.1540774,101.7063402,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.4/5 (405 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
GOOGLE-ChIJsctL,2025-11-05,Al-Amar Express,Restaurant,1,150000,"Lot G-44, Fahrenheit88, 179, Jln Bukit Bintang, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",55100 Kuala Lumpur,Kuala Lumpur,55100.0,http://www.alamarkl.com/,,,+60321103569,,+60321103569,4.0,1301.0,$$ (Moderate),OPERATIONAL,ChIJsctLAyw2zDERs2B7s2QZsUs,3.147402,101.7123351,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4/5 (1301 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
GOOGLE-ChIJHRX7,2025-11-05,R.A. Nasi Lemak,Restaurant,1,100000,"15, Jalan Raja Abdullah, Kampung Baru, 50300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50300 Kuala Lumpur,Kuala Lumpur,50300.0,,,,+60176520059,,+60176520059,3.8,258.0,$$ (Moderate),OPERATIONAL,ChIJHRX7TClIzDEREjxA1lyL0sE,3.1571719,101.7013674,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 3.8/5 (258 reviews),,New,,Google Places Scraper,2025-11-05,80,WARM
GOOGLE-ChIJzTBz,2025-11-05,Domino's Bangsar,"Meal Delivery, Meal Takeaway, Restaurant",1,100000,"6 & 6A, Jalan Telawi, Bangsar, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",59100 Kuala Lumpur,Kuala Lumpur,59100.0,https://www.dominos.com.my/store/wpersekutuan-bangsar-85006,,,+601300888333,,+601300888333,3.4,209.0,$$ (Moderate),OPERATIONAL,ChIJzTBz8qJJzDERxa5EDwTVhTM,3.1325777,101.6706049,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 3.4/5 (209 reviews),,New,,Google Places Scraper,2025-11-05,80,WARM
GOOGLE-ChIJDewP,2025-11-05,DÔME (Bangsar Shopping Centre),"Cafe, Restaurant",1,150000,"G7, Ground Level, Bangsar Shopping Centre, 285, Jalan Maarof, Bangsar, 59000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",59000 Kuala Lumpur,Kuala Lumpur,59000.0,http://www.domecafe.com.my/,,,+60122243570,,+60122243570,4.5,1130.0,$$ (Moderate),OPERATIONAL,ChIJDewPNq9JzDERczUxZlj7qJ8,3.14278,101.6673555,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.5/5 (1130 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
GOOGLE-ChIJtYUq,2025-11-05,SkyBar,"Bar, Restaurant",2,400000,"Traders Hotel Kuala Lumpur, Kuala Lumpur City Centre, 50088 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50088 Kuala Lumpur,Kuala Lumpur,50088.0,http://www.shangri-la.com/kualalumpur/traders/dining/bars-lounges/sky-bar/,,,+60323329888,,+60323329888,4.2,2948.0,$$$ (Expensive),OPERATIONAL,ChIJtYUqqdM3zDERoeZmz29cmf0,3.1539243,101.7148872,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 4.2/5 (2948 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
GOOGLE-ChIJy3l7,2025-11-05,Tatsu Japanese Cuisine • InterContinental,Restaurant,1,80000,"165, Jln Ampang, Kuala Lumpur, 55000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",55000 Kuala Lumpur,Kuala Lumpur,55000.0,http://kualalumpur.intercontinental.com/dining/tatsu-japanese-cuisine,,,+60162024623,,+60162024623,4.0,160.0,Unknown,OPERATIONAL,ChIJy3l7HNA3zDERff8grBWEMDE,3.1596017,101.7179412,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4/5 (160 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
GOOGLE-ChIJY0pA,2025-11-05,Marini’s on 57,"Night Club, Bar, Restaurant",2,1000000,"Level 57, Menara 3, Petronas, Persiaran KLCC, Kuala Lumpur City Centre, 50088 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50088 Kuala Lumpur,Kuala Lumpur,50088.0,https://marinisgroup.com/marinis-on-57/,,,+60323866030,,+60323866030,4.5,3483.0,$$$$ (Very Expensive),CLOSED_TEMPORARILY,ChIJY0pAodY3zDERpLoOdZbQ0UM,3.1566118,101.7115921,Losing money to waste but don't know how much,3,,,Google Places API,Rating: 4.5/5 (3483 reviews),,New,,Google Places Scraper,2025-11-05,95,HOT
GOOGLE-ChIJMwcN,2025-11-05,The Coffee Bean & Tea Leaf,"Cafe, Store, Restaurant",1,100000,"Unit G-047, Ground Floor, Mid Valley Megamall, Lingkaran Syed Putra, Mid Valley City, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",59200 Kuala Lumpur,Kuala Lumpur,59200.0,https://www.coffeebean.com.my/,,,+60322013603,,+60322013603,3.8,497.0,$$ (Moderate),OPERATIONAL,ChIJMwcN545JzDERfb3x0dEXfj4,3.117699099999999,101.6774777,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 3.8/5 (497 reviews),,New,,Google Places Scraper,2025-11-05,80,WARM
GOOGLE-ChIJObNT,2025-11-05,Umameat,Restaurant,1,200000,"22-G, Jalan Medan Setia 2, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50490 Kuala Lumpur,Kuala Lumpur,50490.0,http://www.umameat.beepit.com/,,,+60138806601,,+60138806601,4.2,372.0,$$$ (Expensive),OPERATIONAL,ChIJObNTWto3zDERJ11p5I0IY1Q,3.1490332,101.6531168,Losing money to waste but don't know how much,2,,,Google Places API,Rating: 4.2/5 (372 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
GOOGLE-ChIJKdx-,2025-11-05,Heritage One Station Restaurant,Restaurant,1,100000,"Bangunan Stesen Keretapi, 2, Jalan Sultan Hishamuddin, Kampung Attap, 50050 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50050 Kuala Lumpur,Kuala Lumpur,50050.0,,,,+60322743533,,+60322743533,4.0,684.0,$$ (Moderate),OPERATIONAL,ChIJKdx-FsVJzDER94Il2e9a6iM,3.1403277,101.6933454,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4/5 (684 reviews),,New,,Google Places Scraper,2025-11-05,90,HOT
GOOGLE-ChIJB_zB,2025-11-05,Madras Lane Yong Tau Foo,Restaurant,1,80000,"Kuala Lumpur City Centre, 50000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",50000 Kuala Lumpur,Kuala Lumpur,50000.0,,,,+60183758890,,+60183758890,4.0,336.0,Unknown,OPERATIONAL,ChIJB_zBSNBJzDERJS5ZzPTEN-Q,3.1436399,101.6973164,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4/5 (336 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
