Priority,Action,Suggested Approach,Lead ID,Date Added,Company Name,Business Type,Number of Outlets,Estimated Monthly Revenue (RM),Address,City,State,Postal Code,Website,Primary Contact Name,Job Title,Phone Number,Email Address,WhatsApp,Rating,Review Count,Price Level,Business Status,Google Place ID,Latitude,Longitude,Biggest Pain Point,ICP Tier (1/2/3),Lead Score (0-100),Lead Quality (HOT/WARM/QUALIFIED/COLD),Source,Notes,Follow-up Date,Contact Status (New/Contacted/Qualified/Proposal/Won/Lost),Owner (Sales Rep),Created By,Last Modified,Initial Score Hint,Quality Hint
11,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJu0qZ,2025-11-05,Jing Si Books & Cafe @ SS2,"Cafe, Book Store, Store",1,50000,"10, Jalan 19/36, Seksyen 19, 46300 Petaling Jaya, Selangor, Malaysia",46300 Petaling Jaya,Selangor,46300.0,https://jingsibooksncafe.com/,,,60379322032.0,,60379322032.0,4.5,123.0,$ (Budget),OPERATIONAL,ChIJu0qZsVBJzDEREIql_XdmRSo,3.118181,101.626288,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.5/5 (123 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
12,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJM6LT,2025-11-05,Coffee 45,Cafe,1,80000,"45, Love Ln, Georgetown, 10200 George Town, Penang, Malaysia",10200 George Town,Penang,10200.0,https://mobile.facebook.com/doubleexposurecafe/,,,60123644661.0,,60123644661.0,4.5,207.0,Unknown,OPERATIONAL,ChIJM6LTa5DDSjARj0GPsxdB0bA,5.4192472,100.3369293,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.5/5 (207 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
13,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJg-r5,2025-11-05,Foremula Cafe,"Cafe, Store, Restaurant",1,100000,"D9-1-G, Dana 1 Commercial Centre, Jalan PJU 1A/46, 47301 Petaling Jaya, Selangor, Malaysia",47301 Petaling Jaya,Selangor,47301.0,http://www.foremula.com/,,,60374967419.0,,60374967419.0,4.4,438.0,$$ (Moderate),OPERATIONAL,ChIJg-r5WSZMzDERPCJAhHckaIs,3.1102589,101.5841735,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.4/5 (438 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
14,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJ49l-,2025-11-05,Areca Cafe,Cafe,1,80000,"5, Jalan Khoo Sian Ewe, George Town, 10050 George Town, Pulau Pinang, Malaysia",10050 George Town,,10050.0,http://arecahotelpenang.com/,,,6042610173.0,,6042610173.0,4.3,64.0,Unknown,OPERATIONAL,ChIJ49l-V5bDSjARbByKdSLNtkY,5.4172104,100.3299098,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.3/5 (64 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
15,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJLxqt,2025-11-05,Starbucks Centrepoint Bandar Utama,Cafe,1,100000,"Lot, G109 & G110, Ground Floor, Lebuh Bandar Utama, Bandar Utama, 47800 Petaling Jaya, Selangor, Malaysia",47800 Petaling Jaya,Selangor,47800.0,,,,60374991161.0,,60374991161.0,4.1,464.0,$$ (Moderate),OPERATIONAL,ChIJLxqtAcxOzDERO_3_IUVQaUI,3.1375956,101.6096365,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.1/5 (464 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
16,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJYbwS,2025-11-05,ChimiChurri,"Cafe, Restaurant",1,80000,"2, Jalan 51a/225, Seksyen 51a, 46100 Petaling Jaya, Selangor, Malaysia",46100 Petaling Jaya,Selangor,46100.0,https://www.facebook.com/mychimmicurri,,,60176752205.0,,60176752205.0,4.4,377.0,Unknown,OPERATIONAL,ChIJYbwSoV5JzDER-d4w28pEWEM,3.0941524,101.6311912,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.4/5 (377 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
17,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJWfDn,2025-11-05,Dream Cafe,Cafe,1,80000,"2, Jalan 13/1, Seksyen 13, 46200 Petaling Jaya, Selangor, Malaysia",46200 Petaling Jaya,Selangor,46200.0,https://www.facebook.com/dreamcafe.dreamcentre,,,601151694523.0,,601151694523.0,4.5,112.0,Unknown,OPERATIONAL,ChIJWfDnDOBLzDER8UMSaHmfTWM,3.112058999999999,101.6366525,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.5/5 (112 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
18,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJ3cqq,2025-11-05,Doi Chang Coffee by Beanie's Brew @ Jaya One,"Cafe, Store",1,50000,"Block J, Ground Gloor, The School, Jaya One, 72A, Jln Profesor Diraja Ungku Aziz, Seksyen 13, 46200 Petaling Jaya, Selangor, Malaysia",46200 Petaling Jaya,Selangor,46200.0,,,,60126881344.0,,60126881344.0,4.4,334.0,$ (Budget),OPERATIONAL,ChIJ3cqqeF5JzDERencjgAybxDo,3.117734,101.6347183,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.4/5 (334 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
19,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJmXcG,2025-11-05,Korean Restoran Oiso @ PJ33 한국식당 오이소,"Restaurant, Cafe",1,100000,"PG-01C2, Jalan Professor Khoo Kay Kim, PJ33 JAYA33, 46200 Petaling Jaya, Selangor, Malaysia",46200 Petaling Jaya,Selangor,46200.0,,,,60192076649.0,,60192076649.0,4.1,459.0,$$ (Moderate),OPERATIONAL,ChIJmXcGxCpKzDERh5ZFAd7Em_4,3.1104025,101.6369384,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.1/5 (459 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
20,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJ5aU2,2025-11-05,Mizi Bistro,Cafe,1,100000,"3rd Floor (33-3-09) Atrium A 33-3-09, Prangin Mall, Jalan Dr Lim Chwee Leong, George Town, 10100 George Town, Pulau Pinang, Malaysia",10100 George Town,,10100.0,http://www.mizibistro.com/,,,60164123273.0,,60164123273.0,4.5,138.0,$$ (Moderate),OPERATIONAL,ChIJ5aU2PpTDSjARy98_iAqrwSk,5.414492000000001,100.3322137,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.5/5 (138 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
21,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJOTly,2025-11-05,Meraki Concept Studio,"Cafe, Library, General Contractor",1,80000,"15, 1, Jalan PJU 1/3f, Sunwaymas Commercial Centre, 47301 Petaling Jaya, Selangor, Malaysia",47301 Petaling Jaya,Selangor,47301.0,https://www.merakiconcept.store/,,,60378809925.0,,60378809925.0,5.0,2.0,Unknown,OPERATIONAL,ChIJOTlymqNOzDERmeltn8eOdCg,3.119926,101.5976478,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 5/5 (2 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
22,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJc2wi,2025-11-05,Face To Face Noodle House | 面对面 | Taman Megah),Restaurant,1,80000,"19, Jalan SS 24/11, Taman Megah, 47301 Petaling Jaya, Selangor, Malaysia",47301 Petaling Jaya,Selangor,47301.0,http://www.facetoface.com.my/,,,60378866038.0,,60378866038.0,4.0,473.0,Unknown,OPERATIONAL,ChIJc2wiz6m0zTER3pCX_SAGJNs,3.11503,101.6117419,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4/5 (473 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
23,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJF1IH,2025-11-05,Indoma (P.P) Sdn Bhd,"Cafe, Store",1,80000,"322A, 2nd Floor, Jalan Slim, Taman Desa Green, 11600 George Town, Pulau Pinang, Malaysia",11600 George Town,,11600.0,https://www.indoma.com.my/,,,6042810578.0,,6042810578.0,4.7,6.0,Unknown,OPERATIONAL,ChIJF1IHJ9DDSjARxz7JwjsCM0o,5.4005062,100.314254,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.7/5 (6 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
24,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJU-kE,2025-11-05,LightBulb Supper,Cafe,1,100000,"57, Jalan Zainul Abidin, 10400 George Town, Pulau Pinang, Malaysia",10400 George Town,,10400.0,https://www.facebook.com/thelightbulb.my,,,60164219721.0,,60164219721.0,4.3,258.0,$$ (Moderate),OPERATIONAL,ChIJU-kEmb3DSjARX6MPiBeiJlQ,5.416414999999999,100.3254251,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.3/5 (258 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
25,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJV-q_,2025-11-05,Ha'ritage by Loong Nam since 1928,"Bakery, Store",1,80000,"7, Jalan Kuala Kangsar, George Town, 10100 George Town, Pulau Pinang, Malaysia",10100 George Town,,10100.0,http://www.haritage.com.my/,,,60182780128.0,,60182780128.0,4.5,24.0,Unknown,OPERATIONAL,ChIJV-q_kKLDSjAR1rWhueTrfqs,5.418006099999999,100.3326719,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.5/5 (24 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
26,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJ7Wrm,2025-11-05,Famous Seremban Favourites Restaurant,Restaurant,1,100000,"78, Jalan PJU 1/3b, Sunway Mas Commercial Center, 47301 Petaling Jaya, Selangor, Malaysia",47301 Petaling Jaya,Selangor,47301.0,https://www.facebook.com/Famous-Seremban-Favourites-Restaurant-213445112014896/,,,60172798582.0,,60172798582.0,3.9,772.0,$$ (Moderate),OPERATIONAL,ChIJ7WrmZ6ROzDERg5FpFxoF3H8,3.1185295,101.5990934,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 3.9/5 (772 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
27,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJtwUK,2025-11-05,Niche Vegan Kitchen,Restaurant,1,100000,"19, Jalan 14/22, Seksyen 14, 46100 Petaling Jaya, Selangor, Malaysia",46100 Petaling Jaya,Selangor,46100.0,,,,60379316172.0,,60379316172.0,4.0,270.0,$$ (Moderate),OPERATIONAL,ChIJtwUKmOFLzDERx5qmIhDNJUM,3.1108111,101.6341944,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4/5 (270 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
28,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJt2wl,2025-11-05,仰光道凉茶,Cafe,1,80000,"Jalan Rangoon, Penang, 10400 Georgetown, Pulau Pinang, Malaysia",10400 Georgetown,Penang,10400.0,https://www.facebook.com/Rangoon.Road.Herbal.Tea/?hc_ref=SEARCH&fref=nf,,,60124262323.0,,60124262323.0,4.3,46.0,Unknown,OPERATIONAL,ChIJt2wlNr3DSjARvqb4VaG6B74,5.419817800000001,100.3258697,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.3/5 (46 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
29,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJxbqa,2025-11-05,Jiang's Duck Restaurant | Restoran Jiang's Duck,Restaurant,1,100000,"20-1, Jalan PJU 1/3a, Sunway Mas Commercial Center, 47301 Petaling Jaya, Selangor, Malaysia",47301 Petaling Jaya,Selangor,47301.0,https://malaysianfooddiary.wordpress.com/2014/10/16/jiangs-duck-restaurant-sunway-mas/,,,60378804788.0,,60378804788.0,4.1,80.0,$$ (Moderate),OPERATIONAL,ChIJxbqah6ROzDERG0EiZED61xc,3.1204638,101.5992198,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.1/5 (80 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
30,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJUR46,2025-11-05,The Big Rajah Food Caterers Sdn Bhd,"Meal Takeaway, Restaurant, Store",1,80000,"13509, Jalan Jenjarum, Taman Sea, 47400 Petaling Jaya, Selangor, Malaysia",47400 Petaling Jaya,Selangor,13509.0,http://www.thebigrajah.com/,,,60378802266.0,,60378802266.0,4.8,197.0,Unknown,OPERATIONAL,ChIJUR46Q7JOzDERIOquluzvSEQ,3.1242832,101.6124806,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.8/5 (197 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
31,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJVU4e,2025-11-05,Shell,"Gas Station, Cafe, Convenience Store",1,100000,"1, Jalan SS 23/8, Taman Sea, 47400 Petaling Jaya, Selangor, Malaysia",47400 Petaling Jaya,Selangor,47400.0,https://find.shell.com/my/fuel/10364912-shell-damansara-jaya/en_MY,,,60126311786.0,,60126311786.0,4.1,195.0,$$ (Moderate),OPERATIONAL,ChIJVU4ekrJOzDERiKB5NQde_2I,3.123783,101.613762,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.1/5 (195 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
32,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJvzy_,2025-11-05,Alley Catz Café,"Cafe, Meal Takeaway, Restaurant",1,80000,"92, Church St, Georgetown, 10200 George Town, Penang, Malaysia",10200 George Town,Penang,10200.0,,,,6042615013.0,,6042615013.0,4.6,39.0,Unknown,CLOSED_TEMPORARILY,ChIJvzy_deDCSjAReAK8YXRAmwQ,5.4191487,100.3397465,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.6/5 (39 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
33,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJhSr2,2025-11-05,Wells Cafe,"Cafe, Store",1,100000,"125, Jalan Timah, 10150 George Town, Pulau Pinang, Malaysia",10150 George Town,,10150.0,http://www.wellscafepg.com/,,,60129219863.0,,60129219863.0,4.5,251.0,$$ (Moderate),OPERATIONAL,ChIJhSr2taLDSjAR48GanLP-u_4,5.4118783,100.3275522,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.5/5 (251 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
34,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJUW_7,2025-11-05,Sweet Garden - Vegetarian Restaurant SS6 Kelana Jaya,Restaurant,1,100000,"B-G, 10, Jalan SS 6/20, Dataran Glomac, 47301 Petaling Jaya, Selangor, Malaysia",47301 Petaling Jaya,Selangor,47301.0,,,,60196768933.0,,60196768933.0,4.0,469.0,$$ (Moderate),OPERATIONAL,ChIJUW_7uBBMzDER2u1fPmzAK3k,3.102222,101.5996412,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4/5 (469 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
35,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJb9tL,2025-11-05,Starbucks 3 Damansara,"Cafe, Restaurant, Store",1,100000,"Lot, G-01, Ground Floor, Tropicana City Mall, 3, Jalan SS 20/27, Damansara Intan, 47400 Petaling Jaya, Selangor, Malaysia",47400 Petaling Jaya,Selangor,47400.0,https://www.starbucks.com.my/,,,60377318667.0,,60377318667.0,4.1,250.0,$$ (Moderate),OPERATIONAL,ChIJb9tLcUhJzDERF05kMcauB7Y,3.130754199999999,101.6272117,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.1/5 (250 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
36,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJOb4d,2025-11-05,Beryl's Chocolate Story,"Cafe, Store",1,80000,"5, Lorong Love, George Town, 10200 George Town, Pulau Pinang, Malaysia",10200 George Town,,10200.0,http://www.berylschocolate.com/,,,6042293777.0,,6042293777.0,4.4,319.0,Unknown,OPERATIONAL,ChIJOb4dC5DDSjARdoTVXfP9RFI,5.4201364,100.3373418,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.4/5 (319 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
37,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJp0Wu,2025-11-05,Kopi Loewak,Cafe,1,80000,"7, Lbh Armenian, George Town, 10200 George Town, Pulau Pinang, Malaysia",10200 George Town,,10200.0,,,,6042610326.0,,6042610326.0,4.7,223.0,Unknown,OPERATIONAL,ChIJp0WuPpLDSjARufkivo1flug,5.414738900000001,100.3380003,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.7/5 (223 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
38,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJU_lT,2025-11-05,The Grove Dessert Corner,Restaurant,1,100000,"G-B, 02, Lebuh Bandar Utama, Pju 1, 47800 Petaling Jaya, Selangor, Malaysia",47800 Petaling Jaya,Selangor,47800.0,http://refreshingdelights.com/,,,60162051121.0,,60162051121.0,4.3,272.0,$$ (Moderate),OPERATIONAL,ChIJU_lT77pOzDER7MkoEgJ0IEI,3.124298,101.6025543,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.3/5 (272 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
39,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJQ63H,2025-11-05,KFC,Restaurant,1,100000,"Ground Floor, 16, Jalan SS 6/3, Ss 6, 47301 Petaling Jaya, Selangor, Malaysia",47301 Petaling Jaya,Selangor,47301.0,https://kfc.com.my/,,,60378866826.0,,60378866826.0,3.5,815.0,$$ (Moderate),OPERATIONAL,ChIJQ63HNBxMzDERkRZSKG4GN4c,3.104965299999999,101.60021,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 3.5/5 (815 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
40,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJi1CJ,2025-11-05,Lohas Vegetarian Bistro,Restaurant,1,50000,"84, Jalan SS 24/2, Taman Megah, 47301 Petaling Jaya, Selangor, Malaysia",47301 Petaling Jaya,Selangor,47301.0,https://www.lohasvegetarianbistro.com/,,,60378861727.0,,60378861727.0,4.2,276.0,$ (Budget),OPERATIONAL,ChIJi1CJCqpOzDERuAzVIAY3xV4,3.1132372,101.6114818,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.2/5 (276 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
41,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJdxc4,2025-11-05,Dian Huo Hotpot 點火心窝,Restaurant,1,100000,"Lot No.L3-3A, L3-3-AF & Terrace, 3rd Floor, Megah Rise Mall, Jalan SS 24/9, Taman Megah, 47301 Petaling Jaya, Selangor, Malaysia",47301 Petaling Jaya,Selangor,47301.0,,,,60178787652.0,,60178787652.0,4.2,385.0,$$ (Moderate),OPERATIONAL,ChIJdxc49h1MzDERQtEqNyF6yVU,3.114078,101.6113907,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.2/5 (385 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
42,CONTACT THIS WEEK,Email + WhatsApp Follow-up,GOOGLE-ChIJHUCB,2025-11-05,Natural Vegetarian Restaurant,Restaurant,1,80000,"Mayang Plaza, 1D-1, Jalan SS 26/9, Taman Mayang Jaya, 47301 Petaling Jaya, Selangor, Malaysia",47301 Petaling Jaya,Selangor,47301.0,https://www.facebook.com/naturalvegetarian04,,,60378867320.0,,60378867320.0,4.1,189.0,Unknown,OPERATIONAL,ChIJHUCB2DVJzDER_Yl5hPGLsrE,3.1155048,101.6042607,Losing money to waste but don't know how much,1,,,Google Places API,Rating: 4.1/5 (189 reviews),,New,,Google Places Scraper,2025-11-05,85,WARM
